client_id,projected_agi,projected_total_tax,projection_date,projection_method,projection_confidence
C-1001,90472.06,17590.8,2025-09-12,Tax software projection,Current
C-1002,358518.48,82619.37,2025-03-05,Tax software projection,Stale
C-1003,226054.88,42996.78,2025-09-12,Tax software projection,Current
C-1004,180480.62,34413.48,2025-09-12,Tax software projection,Current
C-1005,329153.66,82383.15,2025-09-12,Tax software projection,Current
C-1006,225076.37,51746.87,2025-09-12,Tax software projection,Current
C-1008,232106.89,52603.51,2025-09-12,Tax software projection,Current
C-1009,146444.19,33800.0,2025-09-12,Tax software projection,Current
C-1010,251170.91,55100.0,2025-09-12,Tax software projection,Current
C-1011,75583.75,18148.35,2025-09-12,Tax software projection,Current
C-1012,271730.49,71900.0,2025-09-26,Tax software projection,Current
C-1013,582146.57,188400.0,2025-09-12,Tax software projection,Current
C-1014,280308.63,62431.01,2025-09-12,Tax software projection,Current
C-1015,364104.56,81830.41,2025-09-12,Tax software projection,Current
C-1016,176672.44,39797.51,2025-01-30,Tax software projection,Stale
C-1017,265126.14,66200.0,2025-09-12,Tax software projection,Current
C-1018,138045.5,36974.75,2025-09-12,Tax software projection,Current
C-1019,360076.25,104065.1,2025-09-12,Tax software projection,Current
C-1020,250024.04,52052.55,2025-09-12,Tax software projection,Current
C-1021,205247.92,38387.42,2025-09-12,Tax software projection,Current
C-1022,180039.74,44975.54,2025-09-12,Tax software projection,Current
C-1023,470266.18,117897.14,2025-08-30,Tax software projection,Current
C-1024,396742.31,98600.0,2025-02-04,Tax software projection,Stale
C-1025,171237.82,38277.02,2025-09-12,Tax software projection,Current
C-1026,247333.54,64624.84,2025-09-12,Tax software projection,Current
C-1027,189764.33,47541.46,2025-09-12,Tax software projection,Current
C-1028,440469.22,80130.35,2025-01-22,Tax software projection,Stale
C-1029,222595.68,51567.59,2025-09-12,Tax software projection,Current
C-1030,266596.41,68400.0,2025-09-12,Tax software projection,Current
C-1031,233852.11,53257.06,2025-09-12,Tax software projection,Current
C-1032,87600.35,15155.74,2025-09-12,Tax software projection,Current
C-1033,188253.47,51203.88,2025-09-12,Tax software projection,Current
C-1034,77516.88,18802.75,2025-09-12,Tax software projection,Current
C-1035,177259.87,43882.95,2025-09-12,Tax software projection,Current
C-1036,227620.98,45360.22,2025-09-12,Tax software projection,Current
C-1037,169360.27,32640.6,2025-09-12,Tax software projection,Current
C-1038,399296.26,94116.72,2025-09-12,Tax software projection,Current
C-1039,123531.2,24853.02,2025-09-12,Tax software projection,Current
C-1040,135303.59,26087.74,2025-08-19,Tax software projection,Current
C-1041,92728.37,17102.62,2025-09-12,Tax software projection,Current
C-1042,143158.0,23151.98,2025-09-12,Tax software projection,Current
C-1043,360923.71,71272.43,2025-09-12,Tax software projection,Current
C-1044,362924.8,86113.11,2025-09-12,Tax software projection,Current
C-1045,354595.75,80337.15,2025-09-12,Tax software projection,Current
C-1046,113153.36,20578.94,2025-09-12,Tax software projection,Current
C-1047,259044.42,57400.0,2025-09-12,Tax software projection,Current
