client_id,payment_date,amount,memo,method
C-1001,2025-04-16,6307.57,Q1,EFTPS
C-1001,2025-06-18,6307.57,Q2,EFTPS
C-1001,2025-09-15,6307.57,Q3,EFTPS
C-1002,2025-04-15,24481.29,Q1,EFTPS
C-1002,2025-06-16,24481.29,Q2,EFTPS
C-1002,2025-09-16,24481.29,Q3,EFTPS
C-1003,2025-04-15,6727.7,Q1,EFTPS
C-1003,2025-06-16,6727.7,Q2,EFTPS
C-1003,2025-09-15,6727.7,Q3,EFTPS
C-1007,2025-04-15,10903.62,Q1,EFTPS
C-1007,2025-06-16,10648.0,Q2,EFTPS
C-1009,2025-04-15,3900.0,Q1,EFTPS
C-1009,2025-09-15,3900.0,Q3,EFTPS
C-1010,2025-06-16,4000.0,Q2,EFTPS
C-1010,2025-09-15,4000.0,Q3,EFTPS
C-1011,2025-04-15,3060.69,Q1,EFTPS
C-1011,2025-06-16,3060.69,Q2,EFTPS
C-1011,2025-09-15,3060.69,Q3,EFTPS
C-1012,2025-09-15,4000.0,Q3,EFTPS
C-1013,2025-04-15,24000.0,Q1 2025,EFTPS
C-1013,2025-06-16,24000.0,Q2 2025,EFTPS
C-1013,2025-09-15,24000.0,Q3 2025,EFTPS
C-1014,2025-04-15,8231.39,Q1,EFTPS
C-1014,2025-06-16,8231.39,Q2,EFTPS
C-1014,2025-09-15,8231.39,Q3,EFTPS
C-1015,2025-04-15,12339.41,Q1,EFTPS
C-1015,2025-06-16,12339.41,Q2,EFTPS
C-1015,2025-09-15,12339.41,Q3,EFTPS
C-1017,2025-04-15,8100.0,1st qtr,EFTPS
C-1017,2025-06-13,8100.0,2nd qtr,EFTPS
C-1017,2025-09-15,8100.0,3rd qtr,EFTPS
C-1018,2025-04-15,10801.34,Q1,EFTPS
C-1018,2025-06-16,10801.34,Q2,EFTPS
C-1021,2025-04-15,5653.63,Q1,EFTPS
C-1021,2025-06-16,5653.63,Q2,EFTPS
C-1021,2025-09-15,5653.63,Q3,EFTPS
C-1022,2025-04-14,7731.27,Q1,EFTPS
C-1024,2025-04-15,13000.0,Q1,EFTPS
C-1024,2025-06-16,13000.0,Q2,EFTPS
C-1025,2025-06-16,4394.93,Q2,EFTPS
C-1025,2025-09-15,4394.93,Q3,EFTPS
C-1026,2025-04-15,9360.64,Q1,EFTPS
C-1026,2025-06-16,9360.64,Q2,EFTPS
C-1026,2025-09-15,9360.64,Q3,EFTPS
C-1027,2025-06-16,15342.03,Q2,EFTPS
C-1027,2025-09-15,15342.03,Q3,EFTPS
C-1030,2025-04-15,8400.0,1st qtr,EFTPS
C-1030,2025-06-16,8400.0,2nd qtr,EFTPS
C-1030,2025-09-15,8400.0,3rd qtr,EFTPS
C-1032,2025-04-15,2453.49,Q1,EFTPS
C-1032,2025-06-16,2453.49,Q2,EFTPS
C-1032,2025-09-15,2453.49,Q3,EFTPS
C-1033,2025-06-16,8551.77,est,EFTPS
C-1033,2025-09-15,8729.59,est,EFTPS
C-1034,2025-04-15,5762.08,Q1,EFTPS
C-1034,2025-06-16,5762.08,Q2,EFTPS
C-1034,2025-09-15,5762.08,Q3,EFTPS
C-1035,2025-06-16,21150.0,Q1 + Q2 catch-up,EFTPS
C-1035,2025-09-15,10575.0,Q3,EFTPS
C-1037,2025-04-15,6221.71,Q1,EFTPS
C-1037,2025-06-16,6221.71,Q2,EFTPS
C-1037,2025-09-15,6221.71,Q3,EFTPS
C-1038,2025-04-16,22020.33,Q1,EFTPS
C-1038,2025-06-16,22020.33,Q2,EFTPS
C-1038,2025-09-15,22020.33,Q3,EFTPS
C-1039,2025-04-15,6304.44,Q1,EFTPS
C-1039,2025-07-03,5992.95,Q2,Check
C-1039,2025-09-29,6066.1,Q3,Check
C-1040,2025-04-15,5423.7,Q1,EFTPS
C-1041,2025-04-15,18312.57,Q1,EFTPS
C-1041,2025-06-16,3994.53,Q2 - reduced,EFTPS
C-1044,2025-04-15,12044.36,Q1,EFTPS
C-1044,2025-06-16,12044.36,Q2,EFTPS
C-1044,2025-09-15,12044.36,Q3,EFTPS
C-1045,2025-04-17,20398.19,Q1,EFTPS
C-1045,2025-06-16,20398.19,Q2,EFTPS
C-1045,2025-09-17,20398.19,Q3,EFTPS
C-1046,2025-04-17,5337.49,Q1,EFTPS
C-1046,2025-06-16,5337.49,Q2,EFTPS
C-1046,2025-09-15,5337.49,Q3,EFTPS
