client_id,tax_year,return_status,filed_date,agi,taxable_income,income_tax,self_employment_tax,net_investment_income_tax,additional_medicare_tax,total_tax,federal_withholding,estimated_payments,total_payments,balance_due,overpayment,overpayment_applied_to_next_year
C-1001,2024,filed,2025-03-28,102017.81,88673.58,15146.32,5111.02,0.0,0.0,20257.34,0.0,6802.8,6802.8,13454.54,0.0,0.0
C-1002,2024,filed,2025-03-28,334310.14,257722.84,52128.02,25468.21,0.0,0.0,77596.23,0.0,19389.75,19389.75,58206.48,0.0,0.0
C-1003,2024,filed,2025-03-28,220847.18,179573.13,41482.11,0.0,0.0,0.0,41482.11,13218.94,11912.44,25131.38,16350.73,0.0,0.0
C-1004,2024,filed,2025-03-28,160372.78,124518.01,31582.76,0.0,0.0,0.0,31582.76,18312.2,0.0,18312.2,13270.56,0.0,0.0
C-1005,2024,filed,2025-03-28,274213.47,210028.57,70212.31,0.0,0.0,0.0,70212.31,41742.72,0.0,41742.72,28469.59,0.0,0.0
C-1006,2024,filed,2025-03-28,152635.61,133593.85,29941.27,0.0,0.0,0.0,29941.27,30692.57,0.0,30692.57,0.0,751.3,0.0
C-1007,2024,filed,2025-03-28,189563.1,150134.6,27213.01,15904.45,0.0,0.0,43117.46,6036.44,35128.54,41164.98,1952.48,0.0,0.0
C-1008,2024,filed,2025-03-28,254472.72,204999.2,55989.62,0.0,2332.9,0.0,58322.52,38922.72,0.0,38922.72,19399.8,0.0,0.0
C-1009,2024,filed,2025-03-28,88400.0,76408.65,17300.0,0.0,0.0,0.0,17300.0,10669.65,3884.5,14554.15,2745.85,0.0,0.0
C-1010,2024,filed,2025-03-28,229519.83,198586.65,49623.17,0.0,0.0,0.0,49623.17,31304.25,35704.28,67008.53,0.0,17385.36,12216.19
C-1011,2024,filed,2025-03-28,85208.93,72515.88,20581.43,0.0,0.0,0.0,20581.43,10862.0,3589.24,14451.24,6130.19,0.0,0.0
C-1012,2024,filed,2025-03-28,396485.4,312502.44,69545.17,34654.83,0.0,0.0,104200.0,0.0,104973.62,104973.62,0.0,773.62,0.0
