client_id,source_type,ytd_withholding,expected_annual_withholding,as_of_date,notes
C-1003,W-2 (taxpayer),19081.77,25304.09,2025-10-01,
C-1004,Pension,19581.31,26213.69,2025-10-01,
C-1004,IRA distribution,6316.55,8527.35,2025-10-01,
C-1005,W-2 (taxpayer),53894.87,71859.83,2025-10-01,
C-1005,W-2 (spouse),11233.97,14744.58,2025-10-01,
C-1006,W-2 (taxpayer),6479.8,6101.69,2025-10-01,Employment ended 03/14/2025
C-1006,W-2 (spouse),9603.36,12506.06,2025-10-01,
C-1007,W-2 (spouse),4635.85,6095.95,2025-10-01,
C-1008,W-2 (taxpayer),43218.29,57624.39,2025-10-01,
C-1008,W-2 (spouse),9331.6,12247.73,2025-10-01,
C-1009,W-2 (taxpayer),2600.0,3500.0,2025-10-01,
C-1010,W-2 (taxpayer),15600.0,20800.0,2025-10-01,
C-1011,W-2 (taxpayer),9467.46,12554.67,2025-10-01,
C-1013,W-2 (spouse),17200.0,22900.0,2025-10-01,
C-1014,W-2 (taxpayer),24308.88,32235.68,2025-10-01,
C-1015,W-2 (taxpayer),33597.51,44553.23,2025-10-01,
C-1017,W-2 (taxpayer),3800.0,5100.0,2025-10-01,
C-1021,W-2 (taxpayer),14406.73,19104.58,2025-10-01,
C-1023,W-2 (taxpayer),16582.96,23048.66,2025-10-01,
C-1023,Pension,3084.65,4295.0,2025-10-01,
C-1025,W-2 (taxpayer),13452.53,17839.23,2025-10-01,
C-1026,W-2 (taxpayer),28755.47,38132.25,2025-10-01,
C-1028,W-2 (taxpayer),50768.91,67691.89,2025-10-01,
C-1028,W-2 (spouse),9888.27,12978.35,2025-10-01,
C-1029,W-2 (taxpayer),32186.95,42915.94,2025-10-01,
C-1029,W-2 (spouse),6655.74,8735.66,2025-10-01,
C-1030,W-2 (taxpayer),4100.0,5500.0,2025-10-01,
C-1031,W-2 (taxpayer),34205.38,45607.18,2025-10-01,
C-1031,W-2 (spouse),7019.11,9212.59,2025-10-01,
C-1032,W-2 (taxpayer),7776.48,10312.28,2025-10-01,
C-1036,W-2 (taxpayer),34894.17,46525.56,2025-10-01,
C-1036,W-2 (spouse),6621.6,8690.85,2025-10-01,
C-1037,W-2 (taxpayer),15703.22,20823.83,2025-10-01,
C-1040,Pension,11124.91,14832.5,2025-10-01,
C-1040,Social Security,2414.96,3026.44,2025-10-01,
C-1042,W-2 (taxpayer),15488.3,22681.52,2025-10-01,
C-1043,W-2 (taxpayer),56660.16,75546.88,2025-10-01,
C-1044,W-2 (taxpayer),34869.41,46239.87,2025-10-01,
C-1047,W-2 (taxpayer),24900.0,33200.0,2025-10-01,
C-1047,W-2 (spouse),4100.0,5500.0,2025-10-01,
